worker_id,condition,start_means,strategy_with_means,strategy_without_means,Open Codes,Answered question,Changed strategy with vs witout means,Mentioned distance,Mentioned mean,Mentioned variance,Mentioned threshold,Mentioned area of marking,Mentioned frequency of events/markings,Mentioned confusion
33e71012,densities,TRUE,I wasn't particularly scientific about it honestly there was just a rough threshold where I considered the benefit of bringing on the new player outweighed the cost of them.  Pretty much any new player that had a tangible increase in our odds I hired and it seemed to work out fairly well.,"Pretty much the same as in the first task.  The slight differences didn't really affect the rather basic way I used the charts which again was just to view them in a very linear ""Anything above this threshold is hired"" kind of way.  I didn't feel the need to try to get more analytical than that since it seemed to work out fairly well.",Distance across threshold,Yes,No,Yes,No,No,Yes,No,No,No
34eaae3a,densities,TRUE,I looked at what percentage it appeared the new player would help my team.,I tried to see how much the new player would help on the charts.,Uninformative,No,,,,,,,,
350c92e3,densities,TRUE,I am looking at how much area of the red curve is to the right of the threshold line. That's how I decide whether to hire the new player or not.,The same as before. I'm looking at how much area of the red chart lies to the right of the award threshold line. It's all about total area.,Area across threshold,Yes,No,No,No,No,Yes,Yes,No,No
377416c9,densities,TRUE,I looked for how far away the red graph was from the blue graph but to be honest I'm not really sure I understood how it worked.,I can now say that I definitely did not understand how the charts really worked especially when you had to input the x out of 100 part.,Gist distance,Yes,No,Yes,No,No,No,No,No,Yes
37f6a1f9,densities,TRUE,I looked at how much value the new player was going to add to the team,I looked at where the chart was projected to be highest without hte new player and if it was within a certain level I decided to sign the player,Uninformative,No,,,,,,,,
398f7c2a,densities,TRUE,If it looked like I was going to have a great chance of a rise I would go with it,when the wave was higher i would choose it and most of the time it would expand out  a longer distance so it would show a higher likelihood of it gaining more points.,Gist distance,Yes,No,Yes,No,No,No,No,No,No
403ad41e,densities,TRUE,I base the graph by each horizontal difference instead for the vertical lines. I have little understand of the graph I am basing the whole thing about how correctly my understand of the graph.,Looked for a minuscule difference between the two. If the upper chart had a higher difference compared to the bottom one then I would say the new player is worth to hire.,Gist distance,Yes,No,Yes,Ignored,No,No,No,No,Yes
412c9b7d,densities,TRUE,I wanted to buy more. When it's close to 50 50 I can take a chance. But I think I should have taken more chances,The better chance of winning with new player then i got it,Uninformative,No,,,,,,,,
44746817,densities,TRUE,I estimated the distance until the next number on the axis and made a guess.,I looked at how wide the bell curve was and made an estimation based on that.,Gist distance; Variance; Point threshold,Yes,Yes,Yes,No,Yes,Yes,No,No,No
4609400a,densities,TRUE,I think there were 17 pages of charts each had two.  I tried to figure out if the odds were better with a new player or if it was not worth it.,I used the same strategies.  I tried to see if if would be beneficial to risk adding a new player.,Uninformative,No,,,,,,,,
461b21f8,densities,TRUE,I'll pay for the new player if there's about a 60 or better chance that it will help me earn the reward.,Anything above a 60 (in my prediction) was usually enough for me to buy the new player. Anything under and I'd keep the current player.,Probability of superiority threshold,No,,,,,,,,
49bd1652,densities,TRUE,I looked at where the red and blue graphs were in relationship to one another. I also looked at how wide the variance of the graph was. If the graph for adding a player was significantly further to the right I selected that option.,Similar to the first round I considered where the graphs were in relation to one another as well as the width of the variation. Smaller variation would result in more substantial changes due to horizontal movement on the graph.,Variance and gist distance,Yes,No,Yes,No,Yes,No,No,No,No
4b9adcd1,densities,TRUE,I looked at how much farther ahead the red graph was over the blue. This was a bit confusing.,I used the red graph to determine if I should hire the new player.,Gist distance; Focused on red,Yes,No,Yes,No,No,No,No,No,Yes
4c229257,densities,TRUE,I am mostly looking for how far the new player is from the old players it seems as though if they are even just a bit away they are the better choice.,Based on the middle of the diagram in the chart was where I based my judgement from when the middle of the new player was far enough I could tell it was higher if it didn't fall in line with the old player.,Mean difference,Yes,No,Yes,Yes,No,No,No,No,No
520c2707,densities,TRUE,In the beginning I was slightly confused but caught on half way through. I started trying to judge how far ahead the total mass of the red object was of the blue one and pay attention to their shapes.,I tried to judge how far ahead the total mass of the charted color was taking into account the shape of the graph itself since it changed. Then I tried to attribute a value to that increase in distance.,Variance and gist distance,Yes,No,Yes,No,Yes,No,Yes,No,Yes
55bb5d25,densities,TRUE,If it's close I try not to buy. If the new player is higher I weigh the options.,The same as before weighing options per chart I wish it had told me clearer I was out of the second phase of practice too.,Gist distance ,Yes,No,Yes,No,No,No,No,No,No
56472750,densities,TRUE,If the chart indicated any number over 50% (or greater than 100 points) I generally paid for the new player.,Anything over 51% or 101 points I paid for the new player.,Point threshold,No,,,,,,,,
56ca30fb,densities,TRUE,I used the area underneath the bell curve past 100 to determine how much I should invest.,I again used the area underneath the bell curve past 100. If it was large enough to be greater than 80% I committed to buying the new player.,Area across threshold,Yes,No,No,No,No,Yes,Yes,No,No
5ac9e64c,densities,TRUE,I looked for a very small tail end on the slope,Although I thought I was doing good on the first trial i realized that buying players too much had a high cost so I only bought a player if there was no doubt in my mind that it was worth it. Close to 100% over the line,Variance; Distance across threshold,Yes,Yes,Yes,No,Low,Yes,No,No,No
5e551263,densities,TRUE,I thought about the expected value of paying for the player iver keeping my original team. I didn't calculate it out but thought more intuitively,I tried to use the charts to see what percent change there was between the two scenarios,Uninformative,No,,,,,,,,
6267f51f,densities,TRUE,I looked at the improvement that the player expected to bring and I feel that it is significant enough for the cost I decide it is best to get the new player. Generally it seems that I should chosen lower amounts of improvement than I have so far based on some of the reported results.,I looked at the charts and if I felt that the average improvement was greater than the cost then I decided it was worth pursuing the player.,Point threshold; Mean difference,Yes,No,No,Yes,No,Yes,No,No,No
66782ce7,densities,TRUE,It depended how large the red bell curve was and how far it extended. If it was skinny I tended not to choose to buy a new player.,The same way I did before except I paid for the new player if the red was closer to 150.,Variance; Gist distance; Point threshold,Yes,Yes,Yes,No,High,Yes,No,No,No
6adfc7ef,densities,TRUE,I use the mean to find the best approximate value for the task,I was using the lines to make the comparison the second task was a bit difficult to understand,Mean difference,Yes,Yes,No,Yes,No,No,No,No,Yes
7001b4ad,densities,TRUE,I looked to see how much larger a chance I would have of getting more points I looked at the length apart,I used the distance and hiwght to see how I could make the most points,Gist distance; Height of distributions,Yes,No,Yes,No,No,No,Yes,No,No
73a76391,densities,TRUE,If I thought the chance of scoring high with the new player was over 60% I purchased the player.,I used the same strategy I used with the previous charts.,Probability of superiority threshold,No,,,,,,,,
74617a23,densities,TRUE,I'm comparing the shape of top two graphs to spot a differential there then I'm looking at how many more points the top version is getting and where the overlap is.  Based on that I'm making an educated guess.,This is hard to explain without visual aids!  I was looking at how closely the graphs matched.  Then if there was a difference I was trying to see how many more points the red graph gave over the blue to see if it was worth buying the player.,Variance and gist distance; Distribution overlap,Yes,No,Yes,No,Yes,No,Yes,No,No
776b7d03,densities,TRUE,I used the charts to see how much more value a player would add and if it would only keep me around 50% I would not waste the money on paying for adding him.,I looked at how far from the first line of 100 it would move me up to such as close to 150.  The closer it was the more I was willing to risk paying for the new player.  Also a steeper curved line in red would make me hire the new player,Distance across threshold; Point threshold; Variance,Yes,No,Yes,No,Low,Yes,No,No,No
78097da1,densities,TRUE,I looked for the ones in red that was higher but it didn't always work.,I looked for how far the red was away and big or little the red was compared to the blue.,Variance and gist distance,Yes,No,Yes,No,Yes,No,Yes,No,No
7ac9c1b9,densities,TRUE,I looked at the overlap between the red and the blue to determine if I wanted to take the risk the risk was always 50%+ that I would win.,Again I tried to visualize the two indexes overlaid on each other to see the overlap.,Distribution overlap; Point threshold,Yes,No,No,No,No,Yes,Yes,No,No
7c988f0c,densities,TRUE,I paid attention to when the red chart or bar representing the use of new player shifts from the left to right and more when the tendency is higher in terms of its appearance then i make rate based on the knowledge and that's what determines if i should use a new player or not.,I pay close attention to when the bar chart shifts from the left to the right side then make my judgement rate based on the knowledge if there will be need to use a new player or not. I use the movement of the new play in the chart to decide my ratings from 50-100 and this rating determine my use of new player,Mean difference; Gist distance; Probability of superiority threshold,Yes,No,Yes,Yes,No,No,No,No,No
80633027,densities,TRUE,I compare the whether the new player would be worth adding to the team compared to not adding it and whether the investment in them would be worth it. If adding the new player doesn't really improve the score then I don't invest in them otherwise I do.,I used the charts by determining the average of both adding a new player and not adding the new player to determine if the risk was worth investing into. If the new player had a better average of bringing in points I invested otherwise I didn't.,Mean difference; Point threshold,Yes,No,No,Yes,No,Yes,No,No,No
825e400a,densities,TRUE,Look at the total area of the bell curve that is over the threshold the farther away the better the chance of winning more points,How much area was from the center and how much area the bell curve covered.  A narrow bell curve was riskier than a wide one,Area across threshold; Variance,Yes,No,No,No,High,Yes,Yes,No,No
8c8483c1,densities,TRUE,I only pay for the player when it's obvious there's a significant benefit,I only paid for the player when I thought it would have a significant effect on the outcome otherwise I took my chances,Uninformative,No,,,,,,,,
9460dc2e,densities,TRUE,I mainly referenced the line representing the middle distribution of not buying the player and its relative position to the bell curve representing projected performance after buying the player. If the distance of each of the middle distributions was significant I would choose to either buy or not buy based on the degree of distance.,I used the dotted line and compared the distance of the top-most section of each bell curve and their proximity to each other. Depending on the degree of difference I would then make my decision on whether to buy or not buy the player in question.,Mean difference; Gist distance; Distance across threshold,Yes,Yes,Yes,Yes,No,Yes,No,No,No
9da9491f,densities,TRUE,I compare the expected value of winning for the top vs the expected value minus the player's fee for the bottom. If one is larger I pick that option.,Estimated the expected value of each outcome and chose the higher option.,Uninformative,No,,,,,,,,
a0085c09,densities,TRUE,I looked at the top of the bell curve and tried to figure out if the bottom half of the top curve converged with the bottom curve. The narrow curves seemed to be more effective than the broad curves.,I tried to check the difference between the top of the curves.,Mean difference; Variance,Yes,No,No,Yes,Low,No,No,No,No
a16b66e6,densities,TRUE,I kind of estimate how much more likely the new player is to increase the score based on where the red chart is sitting compared to the blue chart. like the more red is over the award threshold the better the odds.,I looked at how much more red was over the award threshold compared to the blue and guesstimated the odds.,Distance across threshold; Gist distance,Yes,No,Yes,No,No,Yes,No,No,No
a1eb03a0,densities,TRUE,i would like make my decision,i would like to investment small amount of player,Uninformative,No,,,,,,,,
a286ce53,densities,TRUE,I looked at the charts to see if it would significantly increase my chances to win.,I still looked to see if there would be a significant increase in chance to make it worth paying to get the new player.,Uninformative,No,,,,,,,,
a2c3eb42,densities,TRUE,Compare the areas to the left and right of the line if it made the chances significantly better I'd buy the player.,If the chances of winning were significantly improved per the chart I'd pay for the new player.  I tried to compare the areas to the left ant right of the payout line.,Area across threshold,Yes,No,No,No,No,Yes,Yes,No,No
a450e2b5,densities,TRUE,I'm looking for how much closer the other person's data would get me to winning an award. If they are only a couple points off from me and the distribution is fairly narrow I'm probably not paying for them.,I kept looking at the distribution with the new player added. If it was a wider distribution I was more likely to pay for them. Narrower not so much.,Gist distance; Focused on red; Variance,Yes,No,Yes,No,High,No,No,No,No
a53e83f8,densities,TRUE,If the chart is better I first guessed the percentage of the bell curve overlap and then bought the player. If its the same I did not buy the player I was never able to acheive the full 3.17 M and i was still experimenting as I am only half way through trials,I am confused why I did not win when i lost . I think I am misunderstanding because I did not understand when not buy.,Distribution overlap,Yes,No,No,No,No,No,Yes,No,Yes
a82aa363,densities,TRUE,I was looking at the chart and guessing to use a player or not.  There is a learning curve.,I tried my best guess after looking at the charts and comparing them to each other.,Uninformative,No,,,,,,,,
a9550e47,densities,TRUE,Always when there was a chance that with a new player my team would score more points I paid for a new player.,I tried to use the same strategy as before but I was not very successful.,Uninformative,No,,,,,,,,
af943ba4,densities,TRUE,I would see the movement of the additional players chart.,who did better,Gist distance,Yes,No,Yes,No,No,No,No,No,No
b6a44282,densities,TRUE,Very interesting,Very closely,Uninformative,No,,,,,,,,
b998eb1d,densities,TRUE,try to find the middle and leverage my money,buy a new player each time,Uninformative,No,,,,,,,,
bf0e6901,densities,TRUE,I looked for the biggest differences in the scores.,looked for the biggest differences,Uninformative,No,,,,,,,,
bf40ecf2,densities,TRUE,I am looking for an increase in winning of around 5% to purchase a new team member. Anything under that estimate does not appear to be worth the risk of losing money for such as small percentage increase in winning.,I continued with my previous strategy of using around 55% of winning as the cutout for buying a new player. Given that the max bonus was higher than what I earned I probably chose too high for the cutoff.,Probability of superiority threshold,No,,,,,,,,
c1f1c47c,densities,TRUE,If the odds are greater then 55 then I choose to pick a new player,I looked at the top of the peak of the graph. But then I read that all above this line will win. So I tried that and it worked all but one time.,Mean difference; Point threshold,Yes,No,No,Yes,No,Yes,No,No,No
c313ae30,densities,TRUE,I looked at how far to the right the red line was. If it is farther right than the blue line then I know I need to buy the player.,I looked for whichever color was farthest right and predicted it would win.,Mean difference; Gist distance,Yes,Yes,Yes,Yes,No,No,No,No,No
c3d91bb4,densities,TRUE,I only pay for a new player if there is reasonable chance he will make a positive impact on my teams chances of winning.,I looked at if there was a bigger chance to win with a new players.,Uninformative,No,,,,,,,,
c486de45,densities,TRUE,I looked at the difference in how well the new player played. What he could bring to the team.,I tried to use them as I did the first set. Compare and see what the player was bringing to the team.,Uninformative,No,,,,,,,,
cb8b105b,densities,TRUE,Looked at the vertical line separating the two graphs and how far right one graph was over the other,Same as the last strategy. Looked for how far each graph was displaced past the 100 vertical line,Distance across threshold,Yes,No,Yes,No,No,Yes,No,No,No
d0d1e0b9,densities,TRUE,I weighed the cost of the new player vs the potential chance for them to help us get enough points.,i tried to weigh the cost of the player with the likelihood of them helping us get the points needed,Uninformative,No,,,,,,,,
d3fd7aaa,densities,TRUE,I would pay if there was a large difference in probability. I looked at the spread and the difference. I tried to not take many risks.,I used the same strategy as before tried to avoid taking risks and used the spread and difference to try and calculate the probabilities.,Variance and gist distance,Yes,No,Yes,No,Yes,No,No,No,No
d939ed0a,densities,TRUE,Compared area under red curve that was below the blue curve values at the same x-values then took 100 minus that value,guessed at area differences as before but wanted higher than 60%,Distribution overlap; Probability of superiority threshold,Yes,No,No,No,No,No,Yes,No,No
dde640ae,densities,TRUE,At first I was slightly confused and used the 100/150 line to guess how many times the new player would score and then I started paying attention to the red and blue graphics to make my determination.,This time i paid attention to how far the top of the red graphic differed from the blue graphic and how much farther it stretched to the right compared to the blue graphic.,Point threshold; Mean difference; Gist distance,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes
e07c7c35,densities,TRUE,I am looking at total points the team could potentially earn with the new player before deeming whether I would pay for that player to join the team.,I did use the charts to gauge the chances of earning more potential points.,Uninformative,No,,,,,,,,
e4b46997,densities,TRUE,I try to see how close it is to the original value. If it is too close then it is not worth paying in my opinion.,I played it safe this round and kept most of my players unless the expected payoff was much greater.,Gist distance,Yes,No,Yes,No,No,No,No,No,No
e4e2eb7f,densities,TRUE,I looked for curves that weren't equal but farther to the right (higher points) and bought them. If they were equal I wouldn't bother adding them as i wanted better than a 50% chance before investing money.,I looked at the overlap of the two charts and if the the new player didn't have much overlap with the existing team (and was positive in point gain) I would add the player. If there was much overlap I would be less likely to add.,Gist distance; Probability of superiority threshold; Distribution overlap,Yes,Yes,Yes,No,No,No,Yes,No,No
e5447132,densities,TRUE,I count the lines above the figure to determine which is closer to the top.,This time I counted the lines INSIDE of the figure instead of outside and at the top of the figure to determine the percentage.,Uninformative,No,,,,,,,,
ea58be77,densities,TRUE,First I look to see where the marker of the new player is and then I look how far the the new player marks spread from side-to-side.,Same as before with the exception of the markers in the middle of the red and blue graphs. I simply looked at the center of each graph and how far each stretched from side-to-side.,Mean difference; Variance and gist distance,Yes,No,Yes,Yes,Yes,No,No,No,No
f7f69f44,densities,TRUE,I am using basic probability to make my descision,Same as before,Uninformative,No,,,,,,,,
f83e2827,densities,TRUE,I looked at the overall deviation how much further to the right (scoring more points) the new player was versus the old. I also looked at how wide each range was.,I focused on how much the new players chart was to the right of the dotted line.,Gist distance; Variance; Area across threshold,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No
024651d9,densities,FALSE,i used the charts to help me guage my decision to the best of my abilities.,i used the info on the charts to make my decision.,Uninformative,No,,,,,,,,
0a56a65a,densities,FALSE,i would usually go with new person but if it was close i would go with keeping the old one,if it was much better to go with the newwer person i would just go for him,Uninformative,No,,,,,,,,
0b85d005,densities,FALSE,If it seemed like it was equally likely I just went with not choosing a new player. but if it seemed like there was enough of a difference then I went with the new player.,I just looked at how much change there was and tried to determine whicho ne seemed more likely to result in a win.,Uninformative,No,,,,,,,,
171aa909,densities,FALSE,If the red is more to the right than blue use new player. If the red is equal or more to the left than blue keep same player.,If the odds are slightly better with the new player go for it. The vast majority of the time it'll pay off.,Gist distance,Yes,No,Yes,No,No,No,No,No,No
17231e62,densities,FALSE,I just compared the score charts between the team with the new player and the team without the new player and if the team with the new player score higher then I will pay the player,Well i compare the score charts with the team using the new player and without the new player and if the score chart with new player is higher then I pay for the player,Gist distance,Yes,No,Yes,No,No,No,No,No,No
1983b52a,densities,FALSE,I mainly used the same things I did in the first half. It was easier to see the mean this time so I just looked at that (the peak usually) and the wideness of the distribution. Depending on the overlap I assigned an expected value to not taking the player (usually around $1.60) and that of the other distribution (depending on the width and extremes). Then I estimated the best play,I looked at the distribution that both had. If it was a big overlap with paying for the player having a large percent chance below the payline -- then I would do some estimation to see whether my expected value was higher by not paying the $1M versus paying the $1M for the better probability. It was mainly about the width of the distributions the peaks and the overlaps.,Variance and mean difference; Distribution overlap,Yes,No,No,Yes,Yes,No,Yes,No,No
1ca095f9,densities,FALSE,I looked at the difference in potential points scored versus the cost of the new player.,I used the charts to see if the new player made enough of a difference to slant the odds in my favor.,Gist distance,Yes,No,Yes,No,No,No,No,No,No
2254b670,densities,FALSE,I used the dashed line to help me with estimating the odds of a better score with the new player which helped me a lot to better predict the percentage chance of a better score.,I try to determine if the red is high enough to make it worth paying for the player. It seems to not be worth it if there is only like 50-60% chance of improvement.,Gist distance; Probability of superiority threshold; Point threshold,Yes,No,Yes,No,No,Yes,No,No,No
250f3bcf,densities,FALSE,make sense,Honestly,Uninformative,No,,,,,,,,
262dff5a,densities,FALSE,I used it the same way I did before.,If it looked like the new player would make the chances higher I picked that choice,Uninformative,No,,,,,,,,
312d7914,densities,FALSE,Pretty much the same as before. I didn't change my strategy. I looked at how much overlap the red and blue has and the more overlap it had the less I was going to hire the new person. If I felt the odds were about 70/100 I hired the new person.,I just eyeballed the curve and looked at how far to the left the dotted line was in the red chart versus the blue chart and went with my intuition on whether it was a big enough difference or not.,Distance across threshold; Distribition overlap,Yes,No,Yes,No,No,Yes,Yes,No,No
32386833,densities,FALSE,I looked at the graphs and if the red was far enough over I paid for hte player and if it was close i didnt,if it was a big difference i usually hire the new player,Gist distance,Yes,No,Yes,No,No,No,No,No,No
32ba8e11,densities,FALSE,I paid players who gave the team better results.,When having the player improved the team's performance I paid.,Uninformative,No,,,,,,,,
34f23615,densities,FALSE,based on the average. had to make a larger difference to make it worth it,anything over a slight uptick on the graph 55 or higher by my estimation,Gist distance; Mean difference,Yes,No,Yes,Yes,No,No,No,No,No
41b77c8b,densities,FALSE,Again I just tried to gauge how well I thought I would do given the two chart figures and went with the one that seemed to have the best outcome.,I just tried to see what I thought the percentage would be that I would get the award within the desired threshold and went with it.,Uninformative,No,,,,,,,,
45f5b8d8,densities,FALSE,same as the first half of rounds,If the new player substantially improves my chances of winning over 100 points i.e. 80% or greater I choose a new player.,Probability of superiority threshold,No,,,,,,,,
497bd6c0,densities,FALSE,I learned the more I did was looking at how much above 100 points the bell curve was. If it was somewhat more than 60% higher than 100 I paid for the player.,I look at my chances w/o and how much the new player would help,Area across threshold; Probability of superiority threshold,Yes,No,No,No,No,Yes,Yes,No,No
4bc32236,densities,FALSE,I attempted to use the data of the projected score to decide if the new player was needed. I used my the projected results to make the best choice for the team. I looked at the curve of the Hump showing the scores as well as the labeling information on the axis.,I use the charts to attempt to determine the likelihood of a better score. I compare the score before the new player and the predicted results of their addition to the team.,Uninformative,No,,,,,,,,
4c91fd32,densities,FALSE,I used the average amount of points I would gain by comparing the peaks mostly.  I also took how big the spread is into account as well.,I judge based on how often the new player would increase points and also by how much they would increase them,Gist distance; Variance and mean difference,Yes,Yes,Yes,Yes,Yes,No,No,No,No
4d2fde8e,densities,FALSE,even more fun! I like this. Do more!!  Oh yea I used the bell curves to see where the percentage would be and went off of that. I went with anything over 80% as it would pay and I was correct.,fun. Lets do more!,Probability of superiority threshold,No,,,,,,,,
4e19954d,densities,FALSE,I took it as the father apart the graphic/mountain representing the new player was farther apart than the other the better chances of winning an award.,The more separated the mountain with the new player the better.,Gist distance,Yes,No,Yes,No,No,No,No,No,No
50ba5287,densities,FALSE,The same was as before. I look at their relationship to see how many more points I would score with the new player.  And then chose on that basis.,I look at the relationship between the blue and red charts.  If it looked pretty much like I would get more points if I chose the player i would buy the player.,Uninformative,No,,,,,,,,
52b51473,densities,FALSE,Again i looked at the distance between both. I looked at the curves to see a difference or similar size.,I looked at how close they are to each other. I also looked at the curve and how steep it is.,Gist distance; Variance,Yes,No,Yes,No,Yes,No,No,No,No
5680daba,densities,FALSE,I used the dark bar inside the graphs to better estimate the likeliness that one would provide  better outcome than the other.,If I had roughly a 60% likeliness to win the award with the new player based on the charts then I decided to pay for the new player.,Probability of superiority threshold; Mean difference,Yes,Yes,No,Yes,No,No,No,No,No
64947d02,densities,FALSE,I tried to buy if it was over 66,I tried to choose to pay for  the player when it was 75 or higher,Probability of superiority threshold,No,,,,,,,,
69789ad4,densities,FALSE,It seemed like the projected points bar didn't really do anything. It was still possible to not win the award if my projection was past the threshhold. So I just kept paying attention to the bell curves.,I looked for the narrow bell-curve with the new players as they seem to be more deceiving than the wide bell curves. Otherwise I just looked to see how much of each curve had more portions of it above the winning threshhold.,Variance; Area across threshold,Yes,No,No,Ignored,Yes,Yes,Yes,No,No
6ace4f29,densities,FALSE,I looked for where the height of the curve was and how widely the points were distributed overall.,I tried to gauge if there was a reasonable enough chance of winning with the new player to justify the potential loss of money if they didn't end up helping the team. I tried to reason how much of a gain they would give based on where the dashed line intersected the bell curve.,Area across threshold; Variance and gist distance,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No
6af080b5,densities,FALSE,I didn't pay for the new player unless I would have almost been certain to win the award.,I tried to win as often as possible.,Uninformative,No,,,,,,,,
719ce45b,densities,FALSE,I took more risk in the second round. Still use new player to determine if it was worth it. If the average were about 55 percent or higher I jumped on it.,Basically looked at when a new player really upped the points and chose new player or when without new player exceeded threshhold> i chose without new player.,Focus on red; Point threshold; Mean difference; Probability of superiority threshold,Yes,No,No,Yes,No,Yes,No,No,No
728812c3,densities,FALSE,Tried to pay for new player when average is over 100,I tried to choose a player if red section goes good over 100 and choose not to add new player when the difference is very small.,Distance across threshold; Mean difference,Yes,Yes,Yes,Yes,No,Yes,No,No,No
729037ed,densities,FALSE,Again I selected the new player if it felt worth it if they were mostly over the line. It depended on how close the middle of the red curve was to the line.,I looked for how much of the new player was past the line. If it was hardly any I didn't buy otherwise I did.,Focus on red; Area across threshold; Mean difference; Distance across threshold,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
74d18b10,densities,FALSE,I looked at both graphs and determent what my odds would be to win with the new player based on how the graphs looked.,I used the chart to determine how much better my odds where to score more points compared to a 50/50 chance if i didn't get a new player.,Uninformative,No,,,,,,,,
771734af,densities,FALSE,I looked at how much higher the score was likely to be with the new player. If I felt the difference was less than 5% I usually didn't get the new player.,I just looked to see how much the new player would increase the chance of winning and decided if it was enough to be worth the cost.,Probability of superiority threshold,No,,,,,,,,
774c1309,densities,FALSE,I used them to determine if the percentage of over 100 was enough to benefit me vs not benefiting me.,I use the charts to determine if the investment will produce better results.  If not I don't invest in the new player.,Uninformative,No,,,,,,,,
7c4a4cb0,densities,FALSE,Compare heights of the distributions at the 100 point mark. The ratio gave me a rough (reverse) chances. If the chances were 70% or above I bought the player.,Compare the heights of the two probability distributions at 100 point line to guesstimate the chances. When distributions are far apart and chances are over 70% I will buy the player.,Area across threshold; Gist distance; Probability of superiority threshold,Yes,No,Yes,No,No,Yes,Yes,No,No
8173643d,densities,FALSE,The more shifted right the more likely to buy,The thicker the distribution the more likely the accuracy.,Variance; Gist distance,Yes,No,Yes,No,Yes,No,No,No,No
8500f884,densities,FALSE,I tried to decide to play for the new player when the top image was a noticeable amount further to the right. It took me awhile to figure that out but once I did I was almost always correct. Thanks!,I look for the height of the point and how far along it is toward the right.,Gist distance,Yes,No,Yes,No,No,No,No,No,No
8512dec7,densities,FALSE,height of shading,height of shaded area,Area,Yes,No,No,No,No,No,Yes,No,No
8d65eb4f,densities,FALSE,I looked for the biggest span to figure out if the odds increased enough.,If the span was larger I thought there was a greater range of a chance to win.,Variance,Yes,No,No,No,High,No,No,No,No
8f5f96cf,densities,FALSE,I just compared to see how much further right it was from the 100 mark if it was far over then purchase the players and the closer it gets to 100 then the likelihood goes down,if the average points is higher that 100 by a good distance then there is a good chance of purchasing the player will also help the team,Mean difference; Distance across threshold,Yes,No,Yes,Yes,No,Yes,No,No,No
